,0,1,2,3,4,5,6,7,8,9,10
马钱子,薏苡仁,冰片,猪苓,红花,乳香,葶苈子,郁金,桂枝,白芷,大黄,半夏
墨旱莲,白茅根,贯众,大青叶,山药,赤芍,板蓝根,桑叶,黄连,黄芩,玄参,郁金
大黄,大黄,连翘,冰片,金银花,虎杖,黄连,黄芩,栀子,鱼腥草,薏苡仁,玄参
鸭跖草,栀子,黄连,鱼腥草,黄芩,泽泻,金银花,冰片,玄参,大黄,青蒿,大青叶
桔梗,薄荷,紫苏,败酱草,泽泻,橘红,厚朴,南沙参,北沙参,苏合香,陈皮,麻黄
青黛,黄连,大青叶,玄参,板蓝根,金银花,黄芩,贯众,栀子,知母,败酱草,连翘
苦参,鱼腥草,泽泻,青蒿,猪苓,白茅根,广藿香,黄芩,贯众,黄连,栀子,槟榔
青叶胆,青蒿,泽泻,猪苓,柴胡,广藿香,黄连,栀子,黄芩,鱼腥草,川芎,大黄
雷丸,槟榔,枳实,木香,贯众,草果,马鞭草,芦根,西洋参,北沙参,南沙参,栀子
黄连,黄连,栀子,黄芩,大青叶,玄参,板蓝根,金银花,冰片,贯众,鱼腥草,大黄
洋金花,红花,虎杖,甘草,红景天,附子,荜茇,北沙参,赤芍,檀香,安息香,苏合香
浙贝母,败酱草,连翘,牛黄,金银花,甘草,虎杖,鱼腥草,葶苈子,大黄,玄参,紫苏
绿豆,金银花,败酱草,大青叶,连翘,广藿香,牛黄,板蓝根,黄连,栀子,鱼腥草,黄芩
萱草根,猪苓,黄连,郁金,泽泻,青蒿,白术,大青叶,大腹皮,茯苓,橘红,赤芍
苍术,苍术,白芷,茯苓,细辛,猪苓,麻黄,桂枝,草果,川芎,冰片,橘红
槲寄生,猪苓,苍术,川芎,白芷,薏苡仁,细辛,茯苓,青蒿,白术,大腹皮,橘红
玉米须,猪苓,鱼腥草,川芎,郁金,大腹皮,青蒿,泽泻,橘红,白术,茯苓,白茅根
白及,泽泻,黄芪,白茅根,乳香,贯众,黄芩,鱼腥草,丹参,玄参,荜茇,赤芍
大腹皮,大腹皮,乳香,川芎,郁金,橘红,陈皮,猪苓,安息香,槟榔,香附,桂枝
白屈菜,红花,虎杖,甘草,红景天,附子,荜茇,北沙参,赤芍,檀香,安息香,苏合香
大蒜,贯众,鱼腥草,槟榔,薏苡仁,马鞭草,金银花,败酱草,泽泻,青蒿,大青叶,连翘
白毛藤,金银花,栀子,黄连,鱼腥草,黄芩,大黄,败酱草,青蒿,大青叶,连翘,泽泻
华山参,款冬花,苦杏仁,紫菀,葶苈子,北沙参,牛黄,厚朴,半夏,紫苏,虎杖,甘草
茄根,红花,吴茱萸,荜茇,附子,青蒿,木香,赤芍,当归,檀香,安息香,苏合香
京大戟,泽泻,猪苓,葶苈子,鱼腥草,半夏,大黄,薏苡仁,冰片,茯苓,白术,大腹皮
海桐皮,猪苓,苍术,白芷,川芎,薏苡仁,细辛,茯苓,大腹皮,白术,橘红,青蒿
贯众,贯众,大青叶,马鞭草,白茅根,板蓝根,金银花,黄连,黄芩,玄参,败酱草,连翘
百部,款冬花,北沙参,苦杏仁,紫菀,葶苈子,红景天,荜茇,山药,厚朴,南沙参,西洋参
白茅根,白茅根,贯众,大青叶,赤芍,板蓝根,鱼腥草,黄芩,黄连,芦根,玄参,丹参
白薇,鱼腥草,黄连,大青叶,赤芍,白茅根,板蓝根,金银花,冰片,虎杖,贯众,栀子
路路通,猪苓,苍术,白芷,川芎,薏苡仁,细辛,虎杖,茯苓,白术,大腹皮,橘红
香加皮,泽泻,猪苓,苍术,鱼腥草,白芷,川芎,薏苡仁,细辛,茯苓,大腹皮,白术
柿蒂,吴茱萸,半夏,荜茇,苦杏仁,广藿香,厚朴,款冬花,紫菀,葶苈子,芦根,生姜
威灵仙,猪苓,苍术,白芷,川芎,薏苡仁,细辛,茯苓,大腹皮,白术,橘红,青蒿
苦丁茶,知母,石膏,西洋参,桑叶,苍术,芦根,玄参,金银花,冰片,败酱草,泽泻
侧柏叶,白茅根,北沙参,款冬花,苦杏仁,紫菀,贯众,葶苈子,紫苏,虎杖,甘草,败酱草
甘草,甘草,虎杖,败酱草,牛黄,金银花,紫苏,大青叶,连翘,红景天,冰片,木香
青蒿,青蒿,泽泻,广藿香,猪苓,鱼腥草,黄芩,槟榔,栀子,黄连,草果,大黄
川贝母,款冬花,北沙参,葶苈子,败酱草,连翘,泽泻,甘草,虎杖,苦杏仁,紫菀,牛黄
赤小豆,鱼腥草,泽泻,黄芪,猪苓,黄芩,栀子,黄连,薏苡仁,大黄,虎杖,金银花
金果揽,板蓝根,金银花,败酱草,大青叶,连翘,甘草,冰片,虎杖,牛黄,赤芍,红花
草乌叶,金银花,败酱草,连翘,大青叶,冰片,虎杖,甘草,赤芍,牛黄,板蓝根,红花
夏天无,川芎,乳香,郁金,桂枝,白芷,大腹皮,细辛,虎杖,赤芍,猪苓,安息香
猪苓,猪苓,橘红,茯苓,白术,泽泻,青蒿,大腹皮,广藿香,陈皮,厚朴,麻黄
天花粉,知母,石膏,芦根,玄参,泽泻,西洋参,栀子,黄芩,鱼腥草,黄连,丹参
北豆根,金银花,败酱草,大青叶,连翘,甘草,虎杖,冰片,板蓝根,牛黄,赤芍,红花
酸枣仁,人参,茯苓,白术,知母,南沙参,西洋参,北沙参,桑叶,石膏,牛黄,苍术
白花菜子,桂枝,川芎,白芷,附子,荜茇,细辛,安息香,檀香,苏合香,赤芍,红花
麻黄根,白术,败酱草,西洋参,北沙参,南沙参,栀子,黄连,芦根,牛黄,厚朴,草果
