海风藤,Caulis Piperis Kadsurae,,
川木通,Clematidis Armandii Caulis,,
干姜,Zingiberis Rhizoma,,
大蓟,Cirsii Japonici Herba Carbonisata,,
了哥王根,Radix Wikstroemiae Indicae,,
蓖麻子,Ricini Semen,,
钩藤,Uncariae Ramulus Cum Uncis,,
泽漆,Herba Euphorbiae Helioscopiae,,
委陵菜,Potentillae Chinensis Herba,,
野菊花,flos chrysanthemi indici ,,
四季青,Ilicis Chinensis Folium,,
续断,Dipsaci Radix,,
椿皮,Ailanthi Cortex,,
猫眼草,Herb of Crescent-shaped Euphorbia,,
小通草,Stachyuri Medulla,,
射干,Belamcandae Rhizoma,,
翻白草,Potentillae Discoloris Herba,,
吴茱萸,Euodiae Fructus,,
紫苏子,Perillae Fructus,,
赤芍,Paeoniae Radix Rubra,,
玄参,Scrophulariae Radix,,
石上柏,Herba Selaginellae Doederleinii,,
冰片,Borneolum Syntheticum,,
竹节参,Panacis Japonici Rhizoma,,
白头翁,Chinese Pulsatilla Root,,
鬼箭羽,Ramulus Euonymi Alati,,
白蔹,Ampelopsis Radix,,
女贞子,Glossy Privet Fruit,,
薏苡仁,Coix Seed,,
马齿苋,Portulaca oleracea,,
仙桃草,Purslane Speedwell Herb,,
巴戟天,Morindae Officinalis Radix,,
五倍子,Chinese Gall,,
人参,Ginseng,,
