"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
Âí¶µÁå£¨Dutohmanspipe Fruit£©£¨Dutohmanspipe Fruit£©,MOL012384,166.31,3.81,0,0,38.14,1.74,1.79,0.02,0.16,-10.5,TRUE,TRUE,FALSE,FALSE,FALSE
ÊìµØ»Æ£¨Prepared Rehmannia Root£©£¨Prepared Rehmannia Root£©,MOL003704,184.21,-0.53,3,4,54.91,-0.38,-0.88,0.06,0,-10.35,TRUE,TRUE,FALSE,FALSE,FALSE
ÒæÄ¸²Ý£¨Motherwort Herb£©£¨Motherwort Herb£©,MOL001418,376.54,3.28,1,5,61.02,0.42,-0.04,0.38,0.24,-10.26,TRUE,TRUE,TRUE,FALSE,FALSE
´Ð°×£¨Fistular Onion Stalk£©£¨Fistular Onion Stalk£©,MOL011637,"1,000.08",30.55,1,2,53.54,1.74,1.28,0.04,0.14,-9.83,TRUE,TRUE,FALSE,FALSE,FALSE
ÓíÖÝÂ©Â«£¨Uniflower Swissentaury Root£©,MOL012825,250.36,2.73,2,2,92.88,0.39,-0.23,0.08,0.14,-9.63,TRUE,TRUE,FALSE,FALSE,FALSE
Ç°ºú£¨Hogfennel Root£©£¨Hogfennel Root£©,MOL013082,157.23,2.79,0,1,42.66,1.67,1.68,0.05,0.39,-9.55,TRUE,TRUE,FALSE,FALSE,FALSE
½µÏã£¨Rosewood£©£¨Rosewood£©,MOL002954,159.2,2.03,1,2,45.02,1.18,0.92,0.05,0.4,-9.36,TRUE,TRUE,FALSE,FALSE,FALSE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL006259,248.3,1.89,1,4,75.5,0.47,0.1,0.15,0.26,-8.52,TRUE,TRUE,FALSE,FALSE,FALSE
À×¹«ÌÙ£¨Root Leaf or Flower of Common Threewingnut£©£¨Root Leaf or Flower of Common Threewingnut£©,MOL003210,569.66,2.57,0,11,30.18,-0.36,-0.65,0.82,0.3,-8,TRUE,TRUE,TRUE,FALSE,FALSE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL006273,262.33,2.21,1,4,76.17,0.55,0.08,0.17,0.25,-8,TRUE,TRUE,FALSE,FALSE,FALSE
°åÀ¶¸ù£¨Isatis Root£©£¨Isatis Root£©,MOL001737,161.17,1.73,2,2,33.86,0.82,0.63,0.05,0.3,-7.7,TRUE,TRUE,FALSE,FALSE,FALSE
¸Ê²Ý£¨Liquorice Root£©£¨Liquorice Root£©,MOL001737,161.17,1.73,2,2,33.86,0.82,0.63,0.05,0.3,-7.7,TRUE,TRUE,FALSE,FALSE,FALSE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL006274,262.33,2.09,1,4,96.52,0.46,-0.07,0.17,0.23,-7.57,TRUE,TRUE,FALSE,FALSE,FALSE
°ëÖ¦Á«£¨Barbated Skullcup Herb£©£¨Barbated Skullcup Herb£©,MOL012264,150.19,1.19,1,2,32.53,0.99,0.82,0.03,0.4,-7.5,TRUE,TRUE,FALSE,FALSE,FALSE
