,name,MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OBÖµ,Caco2Öµ,DLÖµ,HLÖµ,»ã×Ü
1824,°Ù²¿,MOL009441,337.46,1.95,1,6,85.52,-0.02,-0.53,0.38,0.29,2.88,TRUE,TRUE,TRUE,FALSE,TRUE
27746,Î÷ºÓÁø,MOL012089,192.27,4.13,0,0,30.73,1.95,1.81,0.11,0.49,2.89,TRUE,TRUE,FALSE,FALSE,TRUE
18439,ÂúÉ½ºì,MOL012433,362.46,2.31,1,6,109.45,0.1,-0.33,0.4,0.35,2.89,TRUE,TRUE,TRUE,FALSE,TRUE
12155,»ÆÜÎ,MOL000438,302.35,3.13,2,5,67.67,0.96,0.34,0.26,0,2.9,TRUE,TRUE,TRUE,FALSE,TRUE
16104,Á¬ÇÌ,MOL003308,372.45,2.38,1,6,61.2,0.7,0.12,0.57,0,2.9,TRUE,TRUE,TRUE,FALSE,TRUE
28681,Ïã¼ÓÆ¤,MOL005664,334.55,2.93,3,3,40.57,0.39,-0.04,0.47,0.22,2.9,TRUE,TRUE,TRUE,FALSE,TRUE
25268,ÉýÂé,MOL006218,194.2,1.62,2,4,30.68,0.54,0.06,0.06,0.36,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
4058,³µÇ°²Ý,MOL006218,194.2,1.62,2,4,30.68,0.54,0.06,0.06,0.36,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
5172,´»Æ¤,MOL006218,194.2,1.62,2,4,30.68,0.54,0.06,0.06,0.36,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
32723,×ÏËÕ,MOL006218,194.2,1.62,2,4,30.68,0.54,0.06,0.06,0.36,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
13576,½ðÒø»¨,MOL006218,194.2,1.62,2,4,30.68,0.54,0.06,0.06,0.36,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
33886,µÆÕµÏ¸ÐÁ,MOL006218,194.2,1.62,2,4,30.68,0.54,0.06,0.06,0.36,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
11967,»Æ°Ø,MOL006218,194.2,1.62,2,4,30.68,0.54,0.06,0.06,0.36,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
4028,³£É½,MOL008193,303.39,1.66,0,5,37.4,0.76,0.58,0.21,0.24,2.9,TRUE,TRUE,TRUE,FALSE,TRUE
15246,¿î¶¬»¨,MOL010009,406.52,2.72,1,7,58.57,-0.19,-0.38,0.37,0.34,2.9,TRUE,TRUE,TRUE,FALSE,TRUE
14017,¾£½æËë,MOL011871,220.39,3.08,0,1,65.5,1.58,1.9,0.14,0.2,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
22637,ÈË²ÎÒ¶,MOL012638,182.29,2.12,0,2,94.85,0.76,0.63,0.04,0.29,2.9,TRUE,TRUE,FALSE,FALSE,TRUE
27033,ÍÁÜòÜß,MOL013117,314.36,2.69,2,5,37.03,0.48,-0.13,0.28,0.3,2.9,TRUE,TRUE,TRUE,FALSE,TRUE
13271,½ð·Ð²Ý,MOL000596,468.84,7.78,0,2,43.08,1.36,1.15,0.74,0.26,2.91,TRUE,TRUE,TRUE,FALSE,TRUE
20928,ÅåÀ¼,MOL000596,468.84,7.78,0,2,43.08,1.36,1.15,0.74,0.26,2.91,TRUE,TRUE,TRUE,FALSE,TRUE
29523,Ðý¸²»¨,MOL000596,468.84,7.78,0,2,43.08,1.36,1.15,0.74,0.26,2.91,TRUE,TRUE,TRUE,FALSE,TRUE
5480,´ó¼»,MOL000596,468.84,7.78,0,2,43.08,1.36,1.15,0.74,0.26,2.91,TRUE,TRUE,TRUE,FALSE,TRUE
5963,µ¤²Î,MOL007120,312.39,2.14,1,4,71.03,0.62,0.03,0.44,0.28,2.91,TRUE,TRUE,TRUE,FALSE,TRUE
19236,Ã·»¨,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
8771,¸ßÁ¼½ª,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
17812,Âé»Æ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
223,°¬Ò¶,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
1580,°×ÜÆ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
2427,°ëÖ¦Á«,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
3645,²ñºú,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
4878,´¨Üº,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
27579,ÎâÜïÝÇ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
25290,ÉýÂé,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
30556,ÒùÑòÞ½,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
11662,»¨½·,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
24668,É½ÜïÝÇ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
10156,¹ðÖ¦,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
32810,×ÏËÕ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
28139,Ï¸ÐÁ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
18483,ÂúÉ½ºì,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
30354,ÒøÐÓÒ¶,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
6673,°¬Ò¶,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
11186,ºñÆÓ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
13219,½æ×Ó,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
13957,¾£½æ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
16655,ÁèÏö»¨,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
19144,Ãµ¹å»¨,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
19568,Ä¾¹Ï,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
20151,ÄÏÉ³²Î,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
22823,Èâ¶¹Þ¢,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
23552,É£¼ÄÉú,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
23680,É£Ò¶,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
25678,Ê¯ÝÅÆÑ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
26677,ÌìÄÏÐÇ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
29159,ÐÁÒÄ,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
30141,Òð³Â,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
31437,Ü¾Ý´,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
33914,Ýï±¾,MOL000207,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
5247,´Ð°×,MOL011646,144.29,3.05,1,1,39.38,1.2,1.33,0.02,0.18,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
18052,Âí²ª,MOL013052,180.22,1.66,1,3,33.19,0.84,0.68,0.05,0.32,2.92,TRUE,TRUE,FALSE,FALSE,TRUE
12646,¼¦ÑªÌÙ,MOL000491,426.5,5.05,0,7,37.5,0.66,0.3,0.66,0,2.93,TRUE,TRUE,TRUE,FALSE,TRUE
26783,ÌìÉ½Ñ©Á«,MOL009300,248.35,2.04,1,3,56.04,0.72,0.62,0.16,0.34,2.93,TRUE,TRUE,FALSE,FALSE,TRUE
396,°Ë½ÇÜîÏã,MOL010552,187.21,1.84,0,3,87.36,0.77,0.37,0.06,0.42,2.93,TRUE,TRUE,FALSE,FALSE,TRUE
6846,°Ë½ÇÜîÏã,MOL010552,187.21,1.84,0,3,87.36,0.77,0.37,0.06,0.42,2.93,TRUE,TRUE,FALSE,FALSE,TRUE
10045,¹ðÖ¦,MOL010552,187.21,1.84,0,3,87.36,0.77,0.37,0.06,0.42,2.93,TRUE,TRUE,FALSE,FALSE,TRUE
14653,éÙºì,MOL013331,260.31,2.64,0,4,42.78,0.69,0.36,0.15,0.31,2.93,TRUE,TRUE,FALSE,FALSE,TRUE
23025,ÈéÏã,MOL001255,456.78,6.47,2,3,39.55,0.59,0.24,0.75,0.25,2.94,TRUE,TRUE,TRUE,FALSE,TRUE
29404,Ýæ²Ý¸ù,MOL001255,456.78,6.47,2,3,39.55,0.59,0.24,0.75,0.25,2.94,TRUE,TRUE,TRUE,FALSE,TRUE
23142,Èý·ÖÈý,MOL005409,305.41,0.63,2,5,34.87,0.01,-0.48,0.23,0.3,2.94,TRUE,TRUE,TRUE,FALSE,TRUE
33885,µÆÕµÏ¸ÐÁ,MOL005922,580.64,0.2,5,13,43.35,-0.93,-1.88,0.77,0.17,2.94,TRUE,FALSE,TRUE,FALSE,TRUE
9908,¹ãÞ½Ïã,MOL005922,580.64,0.2,5,13,43.35,-0.93,-1.88,0.77,0.17,2.94,TRUE,FALSE,TRUE,FALSE,TRUE
22344,ÇàÒ¶µ¨,MOL007972,374.42,1.62,3,7,71.09,0.27,-0.45,0.55,0.26,2.94,TRUE,TRUE,TRUE,FALSE,TRUE
16303,Þ¤´óÇàÒ¶,MOL011101,448.52,-0.28,6,10,66.02,-1.59,-2.16,0.48,0.35,2.94,TRUE,FALSE,TRUE,FALSE,TRUE
28671,Ïã¼ÓÆ¤,MOL005654,334.55,2.58,3,3,49.95,0.11,-0.62,0.48,0.21,2.95,TRUE,TRUE,TRUE,FALSE,TRUE
13778,½ðÕµ¾Õ»¨,MOL006098,442.8,6.25,2,2,37.47,0.84,0.15,0.75,0,2.95,TRUE,TRUE,TRUE,FALSE,TRUE
9640,¹ÏÝä,MOL007171,438.76,5.71,2,2,30.23,0.71,0.05,0.77,0.24,2.95,TRUE,TRUE,TRUE,FALSE,TRUE
27693,ÎâÜïÝÇ,MOL004017,256.38,1.26,2,3,55.11,0.96,0.75,0.26,0.25,2.96,TRUE,TRUE,TRUE,FALSE,TRUE
31222,Óô½ð,MOL004340,252.39,2.07,2,3,45.72,0.22,-0.14,0.1,0.28,2.96,TRUE,TRUE,FALSE,FALSE,TRUE
30205,Òø²ñºú,MOL007687,208.23,1.87,1,4,45.83,0.73,0.34,0.07,0.29,2.96,TRUE,TRUE,FALSE,FALSE,TRUE
6507,°«µØ²è,MOL010985,362.56,5,1,4,41.61,0.16,-0.48,0.32,0.25,2.96,TRUE,TRUE,TRUE,FALSE,TRUE
57,°«µØ²è,MOL010985,362.56,5,1,4,41.61,0.16,-0.48,0.32,0.25,2.96,TRUE,TRUE,TRUE,FALSE,TRUE
14829,¿à²Î,MOL006592,230.28,3.49,1,3,41.19,0.98,0.63,0.11,0.34,2.97,TRUE,TRUE,FALSE,FALSE,TRUE
29885,Ò°¾Õ»¨,MOL008924,306.39,1.23,1,5,68.44,0.06,-0.28,0.27,0.33,2.97,TRUE,TRUE,TRUE,FALSE,TRUE
25796,Ê¯ÁñÆ¤,MOL009274,324.98,4.93,1,1,55.05,1.32,1.21,0.34,0.28,2.97,TRUE,TRUE,TRUE,FALSE,TRUE
29410,Ýæ²Ý¸ù,MOL013345,598.66,0,7,14,53.99,-1.74,-2.93,0.69,0.2,2.97,TRUE,FALSE,TRUE,FALSE,TRUE
12095,»ÆÜÎ,MOL000378,316.38,3.38,1,5,74.69,1.08,0.84,0.3,0,2.98,TRUE,TRUE,TRUE,FALSE,TRUE
30014,ÒæÄ¸²Ý,MOL001421,334.5,1.87,1,4,85.97,0.46,0.29,0.33,0.24,2.98,TRUE,TRUE,TRUE,FALSE,TRUE
15598,À±½·,MOL008698,307.48,4.33,2,4,47.07,0.98,0.47,0.19,0.22,2.98,TRUE,TRUE,TRUE,FALSE,TRUE
25591,Éú½ª,MOL008698,307.48,4.33,2,4,47.07,0.98,0.47,0.19,0.22,2.98,TRUE,TRUE,TRUE,FALSE,TRUE
1817,°Ù²¿,MOL009434,305.41,1.8,0,5,66.7,0.42,0,0.33,0.28,2.98,TRUE,TRUE,TRUE,FALSE,TRUE
23036,ÈéÏã,MOL001265,498.82,6.8,1,4,42.73,0.6,0.28,0.7,0.25,2.99,TRUE,TRUE,TRUE,FALSE,TRUE
11127,ºìÜÎ,MOL000500,272.32,3.15,2,4,74.66,0.86,0.3,0.21,0,3,TRUE,TRUE,TRUE,TRUE,TRUE
8478,¸Ê²Ý,MOL000500,272.32,3.15,2,4,74.66,0.86,0.3,0.21,0,3,TRUE,TRUE,TRUE,TRUE,TRUE
12655,¼¦ÑªÌÙ,MOL000500,272.32,3.15,2,4,74.66,0.86,0.3,0.21,0,3,TRUE,TRUE,TRUE,TRUE,TRUE
24994,Éß´²×Ó,MOL003609,246.28,2.03,1,4,32.11,0.46,-0.01,0.17,0.34,3,TRUE,TRUE,FALSE,TRUE,TRUE
21866,Ç¼»î,MOL003609,246.28,2.03,1,4,32.11,0.46,-0.01,0.17,0.34,3,TRUE,TRUE,FALSE,TRUE,TRUE
5203,´»Æ¤,MOL006305,266.27,1.83,0,6,31.44,0.69,0.41,0.15,0.16,3,TRUE,TRUE,FALSE,TRUE,TRUE
12804,ÝðÞ¼,MOL008563,428.77,7.15,1,2,40.93,0.76,0.12,0.79,0.27,3,TRUE,TRUE,TRUE,TRUE,TRUE
679,°ÍêªÌì,MOL009551,494.53,2.52,5,9,49.12,-0.18,-1.47,0.77,0.32,3,TRUE,TRUE,TRUE,TRUE,TRUE
7129,°ÍêªÌì,MOL009551,494.53,2.52,5,9,49.12,-0.18,-1.47,0.77,0.32,3,TRUE,TRUE,TRUE,TRUE,TRUE
21633,Ç°ºú,MOL013076,262.28,1.2,2,5,37.3,0.1,-0.19,0.2,0.35,3,TRUE,TRUE,TRUE,TRUE,TRUE
23682,É£Ò¶,MOL002218,354.34,-0.29,4,9,56.45,-1.05,-1.75,0.39,0.27,3.01,TRUE,FALSE,TRUE,TRUE,TRUE
32757,×ÏËÕ,MOL006210,326.38,0.65,4,7,40.52,-0.42,-0.66,0.23,0.27,3.01,TRUE,FALSE,TRUE,TRUE,TRUE
14797,¿à²Î,MOL006561,264.41,0.74,1,4,35.73,0.53,0.48,0.29,0.21,3.01,TRUE,TRUE,TRUE,TRUE,TRUE
17956,Âé»Æ¸ù,MOL009174,500.84,11.3,1,4,36.58,0.93,0.39,0.56,0.24,3.01,TRUE,TRUE,TRUE,TRUE,TRUE
18847,Ã»Ò©,MOL001033,446.54,2.6,0,8,63.84,0.85,0.07,0.81,0.11,3.02,TRUE,TRUE,TRUE,TRUE,TRUE
9929,¹ãÔæ,MOL001490,390.62,7.57,0,4,43.59,0.98,0.68,0.35,0.28,3.02,TRUE,TRUE,TRUE,TRUE,TRUE
30329,ÒøÐÓÒ¶,MOL001490,390.62,7.57,0,4,43.59,0.98,0.68,0.35,0.28,3.02,TRUE,TRUE,TRUE,TRUE,TRUE
12250,»ÆÜË,MOL001490,390.62,7.57,0,4,43.59,0.98,0.68,0.35,0.28,3.02,TRUE,TRUE,TRUE,TRUE,TRUE
20492,Å£´óÁ¦,MOL001490,390.62,7.57,0,4,43.59,0.98,0.68,0.35,0.28,3.02,TRUE,TRUE,TRUE,TRUE,TRUE
16091,Á¬ÇÌ,MOL003295,372.45,2.38,1,6,53.08,0.69,0,0.57,0,3.02,TRUE,TRUE,TRUE,TRUE,TRUE
20919,ÅåÀ¼,MOL000587,288.37,3.92,0,4,50.62,0.92,0.87,0.15,0.34,3.03,TRUE,TRUE,FALSE,TRUE,TRUE
6252,µ³²Î,MOL008394,140.3,4.36,0,0,35.68,1.8,2.14,0.02,0.18,3.03,TRUE,TRUE,FALSE,TRUE,TRUE
24798,É½ÜïÝÇ,MOL005535,266.41,-1.21,4,3,49.33,-1.43,-2.42,0.11,0.13,3.04,TRUE,FALSE,FALSE,TRUE,TRUE
28521,ÏàË¼×Ó,MOL007676,456.78,5.04,2,3,36.35,0.25,-0.67,0.74,0.26,3.04,TRUE,TRUE,TRUE,TRUE,TRUE
30300,ÒøÐÓÒ¶,MOL011600,192.27,4.13,0,0,30.5,1.94,1.83,0.11,0.49,3.04,TRUE,TRUE,FALSE,TRUE,TRUE
22620,ÈË²ÎÒ¶,MOL011600,192.27,4.13,0,0,30.5,1.94,1.83,0.11,0.49,3.04,TRUE,TRUE,FALSE,TRUE,TRUE
27740,Î÷ºÓÁø,MOL011600,192.27,4.13,0,0,30.5,1.94,1.83,0.11,0.49,3.04,TRUE,TRUE,FALSE,TRUE,TRUE
4787,´¨Å£Ï¥,MOL012294,256.28,-0.34,4,6,57.42,-0.75,-1.13,0.12,0.35,3.04,TRUE,FALSE,FALSE,TRUE,TRUE
362,°²Ï¢Ïã,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
3338,²Ô¶ú×Ó,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
4725,´¨é¬×Ó,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
5328,´ó·ç×Ó,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
9052,¸ð»¨,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
6812,°²Ï¢Ïã,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
18624,Âû¾£×Ó,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
23106,Þ¨ÈÊ,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
25760,Ê¯¼û´©,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
33957,Ýï±¾,MOL002049,178.2,1.67,1,3,49.26,0.82,0.58,0.05,0.38,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
25369,Éú½ª,MOL002467,294.43,3.47,2,4,35.64,0.54,-0.08,0.16,0.23,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
8652,¸É½ª,MOL002467,294.43,3.47,2,4,35.64,0.54,-0.08,0.16,0.23,3.05,TRUE,TRUE,FALSE,TRUE,TRUE
15779,À×¹«ÌÙ,MOL003182,388.45,2.12,2,7,60.69,0.45,-0.29,0.62,0.2,3.05,TRUE,TRUE,TRUE,TRUE,TRUE
16619,ÁèÏö»¨,MOL012362,584.96,8.82,2,3,47.52,0.64,-1.32,0.51,0.36,3.05,TRUE,TRUE,TRUE,TRUE,TRUE
15585,À±½·,MOL012362,584.96,8.82,2,3,47.52,0.64,-1.32,0.51,0.36,3.05,TRUE,TRUE,TRUE,TRUE,TRUE
8820,¸ßÁ¼½ª,MOL002556,306.39,2.43,1,5,40.36,0.6,0.35,0.21,0.26,3.06,TRUE,TRUE,TRUE,TRUE,TRUE
5877,µ¤²Î,MOL006824,426.8,7.35,1,1,39.51,1.37,1.2,0.76,0.23,3.06,TRUE,TRUE,TRUE,TRUE,TRUE
30773,Óà¸Ê×Ó,MOL006824,426.8,7.35,1,1,39.51,1.37,1.2,0.76,0.23,3.06,TRUE,TRUE,TRUE,TRUE,TRUE
5060,´©ÐÄÁ«,MOL008213,364.53,2.33,2,5,70.29,-0.03,-0.39,0.36,0.26,3.06,TRUE,TRUE,TRUE,TRUE,TRUE
26985,ÍÁ±´Ä¸,MOL010312,239.3,1.55,0,4,95.34,0.51,0.42,0.09,0.14,3.06,TRUE,TRUE,FALSE,TRUE,TRUE
10853,ºì²Î,MOL012343,278.43,3.92,3,3,33.76,0.11,-0.81,0.13,0.31,3.06,TRUE,TRUE,FALSE,TRUE,TRUE
10268,º£·çÌÙ,MOL000319,342.42,2.52,1,5,94.67,0.28,-0.28,0.32,0.32,3.07,TRUE,TRUE,TRUE,TRUE,TRUE
4833,´¨ÎÚ,MOL002091,188.24,2.71,0,2,32.02,1.44,1.26,0.07,0.29,3.07,TRUE,TRUE,FALSE,TRUE,TRUE
20445,Å£Ýò×Ó,MOL003290,386.48,3.97,0,6,52.3,0.78,0.17,0.48,0.23,3.07,TRUE,TRUE,TRUE,TRUE,TRUE
16087,Á¬ÇÌ,MOL003290,386.48,3.97,0,6,52.3,0.78,0.17,0.48,0.23,3.07,TRUE,TRUE,TRUE,TRUE,TRUE
5716,´óÔæ,MOL007213,295.41,3.57,0,3,34.43,1.22,0.83,0.4,0.24,3.07,TRUE,TRUE,TRUE,TRUE,TRUE
10488,ºÉÒ¶,MOL007213,295.41,3.57,0,3,34.43,1.22,0.83,0.4,0.24,3.07,TRUE,TRUE,TRUE,TRUE,TRUE
16207,Á«×ÓÐÄ,MOL007213,295.41,3.57,0,3,34.43,1.22,0.83,0.4,0.24,3.07,TRUE,TRUE,TRUE,TRUE,TRUE
12718,»ýÑ©²Ý,MOL007313,226.24,2.69,1,3,48.07,0.73,0.59,0.16,0.45,3.07,TRUE,TRUE,FALSE,TRUE,TRUE
33189,×ÏÝÒ,MOL010462,478.74,4.81,2,6,36.8,0.16,-0.35,0.68,0.29,3.07,TRUE,TRUE,TRUE,TRUE,TRUE
30015,ÒæÄ¸²Ý,MOL001422,334.5,2,1,4,66.29,0.44,0.36,0.33,0.23,3.08,TRUE,TRUE,TRUE,TRUE,TRUE
26361,Ì´Ïã,MOL004481,240.34,-0.88,6,6,73.59,-1.23,-2.05,0.05,0.4,3.08,TRUE,FALSE,FALSE,TRUE,TRUE
2298,°ëÏÄ,MOL004481,240.34,-0.88,6,6,73.59,-1.23,-2.05,0.05,0.4,3.08,TRUE,FALSE,FALSE,TRUE,TRUE
5851,µ¤²Î,MOL004481,240.34,-0.88,6,6,73.59,-1.23,-2.05,0.05,0.4,3.08,TRUE,FALSE,FALSE,TRUE,TRUE
17477,ÂÌ¶¹,MOL004481,240.34,-0.88,6,6,73.59,-1.23,-2.05,0.05,0.4,3.08,TRUE,FALSE,FALSE,TRUE,TRUE
21729,ÜÍÊµ,MOL004481,240.34,-0.88,6,6,73.59,-1.23,-2.05,0.05,0.4,3.08,TRUE,FALSE,FALSE,TRUE,TRUE
32537,ÖñÁ¤,MOL004481,240.34,-0.88,6,6,73.59,-1.23,-2.05,0.05,0.4,3.08,TRUE,FALSE,FALSE,TRUE,TRUE
14876,¿à²Î,MOL006639,244.37,1.14,0,3,75.82,1.24,1.44,0.17,0.25,3.08,TRUE,TRUE,FALSE,TRUE,TRUE
18823,Ã»Ò©,MOL001009,316.53,3.97,1,2,54.72,0.72,0.29,0.43,0.27,3.09,TRUE,TRUE,TRUE,TRUE,TRUE
14805,¿à²Î,MOL006569,264.41,0.74,1,4,37.26,0.77,0.77,0.29,0.21,3.09,TRUE,TRUE,TRUE,TRUE,TRUE
21001,èÁèËÒ¶,MOL012578,452.44,3.03,6,9,30.12,-0.71,-1.72,0.93,0.35,3.09,TRUE,FALSE,TRUE,TRUE,TRUE
7739,·À·ç,MOL003453,142.27,2.99,1,1,39.15,1.21,1.31,0.02,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
15335,¿î¶¬»¨,MOL003453,142.27,2.99,1,1,39.15,1.21,1.31,0.02,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
19479,Äµ¾£Ò¶,MOL003453,142.27,2.99,1,1,39.15,1.21,1.31,0.02,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
20166,ÄÏÉ³²Î,MOL003453,142.27,2.99,1,1,39.15,1.21,1.31,0.02,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
27185,Íõ²»ÁôÐÐ,MOL008904,226.24,3.14,1,3,42.26,0.91,0.44,0.16,0.45,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
22844,Èâ¶¹Þ¢,MOL009238,194.25,2.54,1,3,65.28,1.36,1.35,0.05,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
33893,µÆÕµÏ¸ÐÁ,MOL009238,194.25,2.54,1,3,65.28,1.36,1.35,0.05,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
21156,èÁèËÒ¶,MOL009238,194.25,2.54,1,3,65.28,1.36,1.35,0.05,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
16920,ÁãÁêÏã,MOL009238,194.25,2.54,1,3,65.28,1.36,1.35,0.05,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
28288,Ï¸ÐÁ,MOL009238,194.25,2.54,1,3,65.28,1.36,1.35,0.05,0.24,3.1,TRUE,TRUE,FALSE,TRUE,TRUE
29394,Ðø¶Ï,MOL009317,444.72,4.92,3,4,43.32,-0.02,-0.85,0.81,0.23,3.1,TRUE,TRUE,TRUE,TRUE,TRUE
9632,¹ÏÝä,MOL007163,877.53,19.15,0,6,36.98,0.73,-1.05,0.14,0.25,3.11,TRUE,TRUE,FALSE,TRUE,TRUE
